msd_track_id,genre,album_index,set,msd_artist_id,image_url,name_image
TRABKJU128F422A7FE,Metal,0,train,ARBD4QW1187FB42153,http://artwork-cdn.7static.com/static/img/sleeveart/00/008/487/0000848744_200.jpg,0_TRABKJU128F422A7FE.png
TRBLDQQ128F92E58B4,Rock,1,train,AR3RK011187FB3CE3B,http://artwork-cdn.7static.com/static/img/sleeveart/00/004/765/0000476534_200.jpg,1_TRBLDQQ128F92E58B4.png
TRDMMDE128F14A9052,Rock,2,train,ARJVTRE1187B9959C0,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/623/0000062345_200.jpg,2_TRDMMDE128F14A9052.png
TRJOPZB128F4250E02,Rock,4,train,AR62BB21187B9AC83D,http://artwork-cdn.7static.com/static/img/sleeveart/00/001/447/0000144785_200.jpg,4_TRJOPZB128F4250E02.png
TRJKBVL128F935567B,Rock,5,train,AR7GVOV1187B9B5FF1,http://artwork-cdn.7static.com/static/img/sleeveart/00/005/205/0000520513_200.jpg,5_TRJKBVL128F935567B.png
TRUSOQD128F92CFEA5,Rock,7,train,ARZHQDD1187FB5B871,http://artwork-cdn.7static.com/static/img/sleeveart/00/003/188/0000318842_200.jpg,7_TRUSOQD128F92CFEA5.png
TRKCEWE128F425BF56,Rock,9,train,ARRSEGJ1187B9A67D9,http://artwork-cdn.7static.com/static/img/sleeveart/00/002/780/0000278069_200.jpg,9_TRKCEWE128F425BF56.png
TRRCUNU128F932C084,Reggae,10,train,ARDI8UK1187FB369FB,http://artwork-cdn.7static.com/static/img/sleeveart/00/003/642/0000364214_200.jpg,10_TRRCUNU128F932C084.png
TRRNTLC128F93366F6,Rock,11,train,ARTNHBW1187B9A5482,http://artwork-cdn.7static.com/static/img/sleeveart/00/005/495/0000549518_200.jpg,11_TRRNTLC128F93366F6.png
TRSEIMP12903CE2A6B,Reggae,12,train,ARP06GY1187B98B0F0,http://artwork-cdn.7static.com/static/img/sleeveart/00/007/737/0000773743_200.jpg,12_TRSEIMP12903CE2A6B.png
TRHDZSB128F429112F,Metal,13,train,ARZN98V1187B990D1D,http://artwork-cdn.7static.com/static/img/sleeveart/00/008/487/0000848765_200.jpg,13_TRHDZSB128F429112F.png
TRYDOAY128E0794924,Rock,14,train,ARKL75U1187FB5B8B6,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/163/0000016309_200.jpg,14_TRYDOAY128E0794924.png
